Name, Lat, Lon
,,
10th Street,32.66166297,-79.91951806
,,
10th Street North to 14th Street North,39.413485,-74.35476
,,
121's/Magney State Park,47.814652,-90.047617
,,
13th Beach,-38.2873,144.4652
,,
15th Street Pier,36.84318777,-75.97189552
,,
15th to 18th St.,32.95916304,-117.269631
,,
16th Ave.,40.179708,-74.0110837
,,
16th St. South,28.28985158,-80.60630322
,,
17th St.,33.66315613,-118.0143556
,,
18th St. Jetty,31.98722842,-80.84773409
,,
18th Street,30.34696028,-81.39451411
,,
1st St.,39.27998865,-74.55954194
,,
1st St.,36.03043116,-75.66412926
,,
1st St. Jetty,36.83036135,-75.96647859
,,
1st St. Jetty to Pier,36.831,-75.963
,,
21st Street,25.79515799,-80.12527585
,,
25th St.,32.96942752,-117.2705555
,,
26th Ave,36.95723124,-121.9817692
,,
26th to 30th Street Pier,39.093673,-74.71653
,,
28th St,29.284244,-94.792182
,,
2nd Light,28.25254199,-80.60269296
,,
2nd St. to 10th St.,38.99931,-74.78814
,,
30th - 39th Streets,40.591277,-73.770792
,,
30th Street,25.80407402,-80.12222273
,,
32nd Street,39.31443,-74.51863
,,
33rd St,29.281,-94.797
,,
36th St.,33.61555744,-117.9367626
,,
36th St. Close-up,33.61610245,-117.9356897
,,
36th Street to 42nd Street,39.15774,-74.68639
,,
37th Street,29.27981564,-94.80145595
,,
38th Parallel,38.092,128.663
,,
3Ms,31.878,-116.69
,,
3rd St.,36.03415154,-75.66790581
,,
40 St. Newport,33.61731755,-117.9386938
,,
40th St.,25.812164,-80.12082
,,
"42nd to 46th St., North End",36.87262082,-75.9784627
,,
43rd St,29.274,-94.808
,,
50 Road Beach,43.206984,-79.562318
,,
512 km 812 km,-2.7472,-80.2445
,,
51st Street,29.27159139,-94.81532732
,,
54th St.,33.62226711,-117.9455549
,,
56th St.,33.62272274,-117.946853
,,
56th Street Close-up,33.62325877,-117.946507
,,
5th Street,25.77468433,-80.12884046
,,
61st Street,29.26596874,-94.82555808
,,
11-Jul,39.648831,-74.173308
,,
7-Mile Beach,-28.771,153.6
,,
"71st St., North End",36.89712583,-75.98667026
,,
77th St. Rockaways,40.58421878,-73.80341649
,,
7th Street,39.276101,-74.567085
,,
"83rd to 86th St., North End",36.91022123,-75.98732471
,,
84th Street,40.584561,-73.80730033
,,
85th Street,25.87049374,-80.1182856
,,
880,27.99627312,-82.8294192
,,
8th Ave. South,30.28125012,-81.38389707
,,
8th St.,38.338461,-75.081169
,,
90th St. Rockaways,40.58342842,-73.81182253
,,
A St.,29.84475721,-81.26136303
,,
A-Frames,29.47027513,-94.5914664
,,
ABC's,10.96330188,125.8311283
,,
ASR India,8.395399,76.969192
,,
Abacateiro,-6.233891,-35.036747
,,
Abalone St.,35.987343,-75.63862
,,
Aberavon,51.58611111,-3.813333333
,,
Aberdaron,52.802,-4.712
,,
Abrami Beach (Naxos),37.174,25.48
,,
Abras,-3.827,-32.4
,,
Abrolhos Islands,-28.93778889,113.9235722
,,
Acadia National Park,44.314,-68.183
,,
Acropolis (Rhodes),36.097,28.087
,,
Adria,44.561,12.283
,,
Aegios loannis,39.418,23.161
,,
Affenrucken Point,-27.93,15.676
,,
Afife,41.779268,-8.878856
,,
Afogados,-6.24435,-35.036464
,,
Aganoa,-13.776,-172.288
,,
Agate Beach,44.658023,-124.063237
,,
Agger,56.723441,8.218462
,,
Agnes Water,-24.198,151.915
,,
Agrili (Peloponnisos),37.216,21.598
,,
Agua de Alto,37.715,-25.474
,,
Agucadoura,41.432386,-8.789592
,,
Ahonu,-17.507632,-149.4667
,,
Ahtony,42.103,27.942
,,
Airport Reef,8.088,98.285
,,
Airport Rights,-8.745,115.15
,,
Airports,11.15033418,-60.84782706
,,
Akaehama,31.884099,131.46075
,,
Ala Moana Bowls,21.28141678,-157.8457046
,,
Alabama Point,30.27,-87.562
,,
Alassio,44.006,8.174
,,
Albenga,44.041,8.223
,,
Albert Sleeper State Park,43.98299,-83.208041
,,
Aleluia,-12.926801,-38.312619
,,
Alex,-12.973279,-38.406477
,,
Alexandra Headland,-26.665,153.113
,,
Alfonsita,0.194,6.703
,,
Alfonsos,32.274,-117.038
,,
Algoma,44.608746,-87.428506
,,
Alicante Platja de San Juan,38.37,-0.404
,,
Alisitos,32.125,-116.891
,,
Aliso Creek,33.5089479,-117.7524344
,,
Alnes Lighthouse (Godoy),62.49252,5.964439
,,
Alnmouth,55.37888889,-1.606388889
,,
Amaralina,-13.015369,-38.471834
,,
Amelia Pier,30.62059701,-81.43725294
,,
Ammes Beach (Kefallonia),38.109,20.508
,,
Ammoudia Left,39.238,20.48
,,
Anahola Bay,22.148,-159.301
,,
Anare,10.625,-66.652
,,
Anastasia Park (The Entrance),29.86618163,-81.26621503
,,
Anchor Point,30.55033611,-9.743236111
,,
Anderson St.,33.72248358,-118.082428
,,
Andora Liguria,43.95,8.153
,,
Angjarnsudden,57.27,17.057
,,
Anglet,43.51401612,-1.533822669
,,
Angourie,-29.48278333,153.3672667
,,
Ann Street Reef,-26.777,153.141
,,
Anna Bay Reef,-32.791,152.093
,,
Anne Avenue,-34.16290833,24.83401944
,,
Ano Nuevo,37.11578957,-122.3146993
,,
Anrakugawa,31.453579,131.072001
,,
Anse bertrand,16.473,-61.513
,,
Anse couleuvre,14.845,-61.22
,,
Anse de Pen Hat,48.273,-4.623
,,
Anse du Brick,49.67,-1.489
,,
Ansedonia,42.416,11.279
,,
Ansteys,-29.92498333,31.01995
,,
